query,engine,domain,URL,title,text
freedom fight,Google,knowindia.gov.in,https://knowindia.gov.in/culture-and-heritage/freedom-struggle.php,Culture And Heritage - Freedom Struggle - Know India ...knowindia.gov.in › culture-and-heritage › freedom-stru...,
freedom fight,Google,en.wikipedia.org,https://en.wikipedia.org/wiki/Indian_independence_movement,Indian independence movement - Wikipediaen.wikipedia.org › wiki › Indian_independence_move...,
freedom fight,Google,en.wikipedia.org,https://en.wikipedia.org/wiki/Freedom_Fighters,Freedom Fighters - Wikipediaen.wikipedia.org › wiki › Freedom_Fighters,
freedom fight,Google,blog.mygov.in,https://blog.mygov.in/freedom-fighters-who-fought-valiantly-in-indias-independence-movement/,Freedom Fighters Who Fought Valiantly in India's ...blog.mygov.in › freedom-fighters-who-fought-valiantl...,
freedom fight,Google,timesofindia.indiatimes.com,https://timesofindia.indiatimes.com/topic/freedom-fighter,"freedom fighter: Latest News, Videos and Photos of freedom ...timesofindia.indiatimes.com › topic › freedom-fighter",
freedom fight,Google,businessworld.in,http://www.businessworld.in/article/Their-Struggle-For-Freedom-Is-Incomparable-Acknowledge-The-Famous-Freedom-Fighters-And-Their-Renowned-Slogans-/14-08-2020-308830,Their Struggle For Freedom Is Incomparable Acknowledge ...www.businessworld.in › article › Their-Struggle-For-Fr...,
freedom fight,Google,aa.com.tr,https://www.aa.com.tr/en/asia-pacific/india-historians-recall-role-of-muslims-in-freedom-struggle/1941657,India: Historians recall role of Muslims in freedom strugglewww.aa.com.tr › asia-pacific › india-historians-recall-ro...,
freedom fight,Google,sonitpur.gov.in,https://sonitpur.gov.in/portlet-sub-innerpage/freedom-struggle,Freedom Struggle | Sonitpur District | Government Of Assam ...sonitpur.gov.in › portlet-sub-innerpage › freedom-stru...,
freedom fight,Google,youtube.com,https://www.youtube.com/watch?v=cPjRaw8CVr8,Indian Freedom Struggle | Pre Independence History of India ...www.youtube.com › watch,
freedom fight,Google,youtube.com,https://www.youtube.com/watch?v=5Myc-RgWDlY,Indian Freedom Struggle in Hindi | History of India in Hindi ...www.youtube.com › watch,
freedom fight,Google,indiatoday.in,https://www.indiatoday.in/india/video/10-freedom-movements-that-made-india-independent-1314521-2018-08-14,10 freedom movements that made India independent ...www.indiatoday.in › India › Video,
freedom fight,Google,indiatvnews.com,https://www.indiatvnews.com/fyi/independence-day-five-women-freedom-fighter-role-models-some-names-like-jhansi-rani-642005,Independence Day Special: 5 Incredible Women Who Shaped ...www.indiatvnews.com › fyi › independence-day-five-...,
freedom fight,Google,manipal.edu,https://manipal.edu/gir/news-events/revisiting-indias-freedom-struggle-and-role-of-freedom-fighters.html,Revisiting India's Freedom Struggle and Role of Freedom ...manipal.edu › gir › news-events › revisiting-indias-free...,
freedom fight,Google,hindustantimes.com,https://www.hindustantimes.com/analysis/our-freedom-fighters-did-not-fight-for-a-parochial-view-of-nationalism/story-IfZFReZNLKyBSZuHIWG5nI.html,Our freedom fighters did not fight for a parochial view of ...www.hindustantimes.com › analysis › our-freedom-fig...,
freedom fight,Google,himachal.nic.in,https://himachal.nic.in/en-IN/freedom-struggle.html,"Freedom Struggle - Government of Himachal Pradesh, Indiahimachal.nic.in › en-IN › freedom-struggle",
freedom fight,Google,gad.kerala.gov.in,https://gad.kerala.gov.in/state-freedom-fighters?page=5,Freedom Fighters | GADgad.kerala.gov.in › state-freedom-fighters,
freedom fight,Google,ndtv.com,https://www.ndtv.com/topic/freedom-fighters,"Latest News, Photos, Videos on Freedom Fighters - NDTV.COMwww.ndtv.com › topic › freedom-fighters",
freedom fight,Google,nanded.gov.in,https://nanded.gov.in/document-category/freedom_fighter/,"Freedom Fighter | District Nanded, Government of ...nanded.gov.in › document-category › freedom_fighter",
freedom fight,Google,merriam-webster.com,https://www.merriam-webster.com/dictionary/freedom fighter,Definition of Freedom Fighter by Merriam-Websterwww.merriam-webster.com › dictionary › freedom figh...,
freedom fight,Google,thehindu.com,https://www.thehindu.com/news/cities/Kochi/moplah-rioters-not-freedom-fighters-report/article32537886.ece,'Moplah rioters' not freedom fighters: report - The Hinduwww.thehindu.com › News › Cities › Kochi,
freedom fight,Google,newindianexpress.com,https://www.newindianexpress.com/states/karnataka/2020/aug/15/ktaka-connect-with-freedom-struggle-2183684.html,k'taka connect with freedom struggle- The New Indian Expresswww.newindianexpress.com › states › karnataka › aug,
freedom fight,Google,thefreedomfight.org,https://thefreedomfight.org/,Freedom Fight: Homethefreedomfight.org,
freedom fight,Google,mha.gov.in,https://www.mha.gov.in/division_of_mha/freedom-fighters-rehabilitation-division,Freedom Fighters & Rehabilitation Division | Ministry of Home ...www.mha.gov.in › division_of_mha › freedom-fighter...,
freedom fight,Google,mkgandhi.org,https://www.mkgandhi.org/ourbapu/ix.htm,The beginning of India's Freedom Struggle | Our Bapu ...www.mkgandhi.org › ourbapu,
freedom fight,Google,deogarh.nic.in,https://deogarh.nic.in/freedom-fighters/,Freedom Fighters | Deogarh District - Government of Odisha ...deogarh.nic.in › freedom-fighters,
